avance,c1,c2,energia
0,0,0,0
1,0,0.006275089984157,0.006275089984157
2,0.006275089984157,0.012550179968314,0.012550180039653
3,0.018825269952471,0.018825269952471,0.01882527002381
4,0.031375449992124,0.031375449992124,0.025100360007967
5,0.043925629960438,0.043925629960438,0.037650540047621
6,0.056475810000091,0.056475810000091,0.050200720015934
7,0.075301079952562,0.075301079952562,0.069025990039745
8,0.094126349976372,0.094126349976372,0.087851259992215
9,0.11922670998434,0.112951620000183,0.112951620000183
10,0.144327069992307,0.13805198000815,0.144327069992307
11,0.175702519984431,0.163152340016117,0.175702519984431
12,0.207077969976555,0.194527790008241,0.213353060032051
13,0.244728509952836,0.225903240000365,0.251003600008332
14,0.282379050000457,0.257278689992489,0.301204320024267
15,0.320029589976738,0.29492922996877,0.351405040040201
16,0.363955220008515,0.338854860000548,0.407880850040293
17,0.41415593995311,0.382780489960986,0.464356660040384
18,0.464356659969044,0.43298120997692,0.527107560024632
19,0.520832469969136,0.483181929992855,0.596133549993037
20,0.577308279969227,0.539657739992946,0.671434630016939
21,0.640059179953475,0.602408639977194,0.753010800024997
22,0.702810080009063,0.671434630016939,0.834586970033056
23,0.778111159961625,0.746735709969501,0.922438230025271
24,0.84713715000137,0.822036789993403,1.01656458000164
25,0.928713320009428,0.909888049985618,1.11696602003351
26,1.01028949001749,0.997739309977833,1.2236425499782
27,1.09186565995421,1.09186565995421,1.33031907999422
28,1.18599201000192,1.19854218997023,1.44327069999441
29,1.28011835997829,1.30521871998626,1.56249740997875
30,1.38051980001016,1.4244454299706,1.68172412003443
31,1.48719632995485,1.54367213995494,1.81350100998708
32,1.59387285997087,1.67544902997893,1.94527790001107
33,1.71309956995521,1.81350100998708,2.08960497000338
34,1.83232628001089,1.95782807997939,2.23393203999569
35,1.95782807997939,2.11470533001135,2.38453420004349
36,2.08960497000338,2.27158257997197,2.54141145000411
37,2.22765695001153,2.44101000997224,2.70456379002023
38,2.37198402000384,2.62298762001217,2.8739912200205
39,2.51631108999614,2.81124031996491,3.04341865002077
40,2.67318833995676,3.00576810997315,3.22539625998936
41,2.83634067997288,3.21284607994971,3.41364896001345
42,2.999493019989,3.43247422996592,3.60817675002169
43,3.17519553997343,3.65837746996628,3.80897963001409
44,3.35717315001335,3.8905557999508,4.02233269004614
45,3.5454258499661,4.14155939995914,4.23568575000685
46,3.73995363997434,4.40511318000712,4.46158899000721
47,3.94075651996674,4.67494204996793,4.69376731999174
48,4.15410957999879,4.96359618995254,4.93849583001591
49,4.373737730015,5.26480050997681,5.18322434004009
50,4.59964097001536,5.58483009995354,5.44677812001673
51,4.83809438998404,5.91113477998578,5.72288208003303
52,5.08282290000822,6.25626472997048,6.01153622001765
53,5.32755140996105,6.620219949979,6.30646544998642
54,5.5973802799932,6.99672534995583,6.620219949979
55,5.867209149954,7.39205601995647,6.94024954002708
56,6.15586329000995,7.81248704996507,7.27910440002762
57,6.45079251997872,8.25174334999749,7.63678452998064
58,6.75827192998715,8.71610000996653,8.00701484004465
59,7.07830151996389,9.20555703001488,8.3960704199898
60,7.41088128998028,9.72638949998402,8.80395127003009
61,7.74973614998082,10.2911475999849,9.23065739002285
62,8.10741628000518,10.8935562399621,9.68873896000774
63,8.48392167998201,11.5461655999553,10.1656458000164
64,8.87297725999849,12.2552507700198,10.6802031800014
65,9.27458301998329,13.0333619299814,11.2386861900182
66,9.70128913997605,13.8742239899987,11.8348197400112
67,10.1468205299926,14.7966622199526,12.4811540100202
68,10.6237273700013,15.8006766199859,13.1902391800134
69,11.1382847499863,16.886267189956,13.9620752499909
70,11.6967677600031,18.0597090199896,14.8154874900477
71,12.3117265799486,19.3272771999995,15.7379257200017
72,13.0082615699735,20.6889717299859,16.7482152100192
73,13.7989229099748,22.1447926100199,17.8463559600289
74,14.6899856900079,23.7010149300145,19.0323479700308
75,15.6626246399778,25.3513635999855,20.3124663300091
76,16.6980144900032,27.0958386200042,21.6867110400351
77,17.7647797899495,28.9281649000151,23.1550821000374
78,18.8064447299591,30.8295171699944,24.7175795100162
79,19.7728085900161,32.7873452499737,26.3742032700426
80,20.613670649962,34.7702736899611,28.1500537399821
81,21.3164807299711,36.7469270399643,29.9698298400247
82,21.8749637399878,38.6796547600071,31.846081749996
83,22.3142200399489,40.5119810400179,33.7537091100308
84,22.6467998099653,42.1999802499652,35.6613364699942
85,22.8915283199895,43.7122769399993,37.5375883800369
86,23.0421304799659,45.0174956599856,39.325989030016
87,23.0923311999819,46.1281865899636,40.9888878800266
88,23.0358553899818,47.0443497300047,42.4760842099815
89,22.8538777800132,47.7848103499901,43.7687527499994
90,22.5212980099968,48.3621186299593,44.860618410025
91,22.0381160800039,48.7762745699837,45.7265808299788
92,21.4294323499712,49.0272781699921,46.4544912699959
93,20.7517226299701,49.1151294299843,47.0129742800126
94,20.0489125499611,49.0210030800079,47.4208551299816
95,19.3586526499917,48.7386240300075,47.6655836400057
96,18.6934931099589,48.2366168299908,47.7471598100138
97,18.0848093799975,47.5149814799579,47.6593085500216
98,17.5263263699808,46.5737179799802,47.3832045900053
99,17.0305942599483,45.4442017799784,46.8937475700283
100,16.5787877799475,44.1703585099842,46.1909374900192
101,16.1646318399944,42.7961137999582,45.2622241700098
102,15.7818513499621,41.3653932800035,44.1452581500476
103,15.4241712200091,39.9158474899536,42.8714148799821
104,15.0853163600085,38.4600266099908,41.4971701700275
105,14.7652867699605,37.0230309999806,40.0538994700331
106,14.457807359952,35.623685930018,38.5855284100307
107,14.1628781299833,34.2682664900158,37.1108822600441
108,13.886774169967,32.956772679974,35.6613364699942
109,13.6232203899903,31.7017546800037,34.2368910400236
110,13.372216789982,30.5032124899621,32.8563712400135
111,13.1274882799578,29.361146109992,31.5197770700351
112,12.8953099499733,28.2818306300061,30.2396587099855
113,12.6756817999571,27.2652660500044,29.0160161600073
114,12.4623287399964,26.3114523699871,27.8488494200292
115,12.261525860004,25.4203895899539,26.7444335800353
116,12.0669980699957,24.5920777099764,25.6964935500415
117,11.8787453699716,23.826516729983,24.7175795100162
118,11.7030428499872,23.123706649974,23.7951412799909
119,11.5336154199869,22.4710972899808,22.9354539500212
120,11.3704630799708,21.881238829972,22.1385175200358
121,11.2135858300102,21.341581089979,21.3980568999791
122,11.0629836699624,20.8458489800179,20.7203471800494
123,10.9186565999701,20.4003175900013,20.0928381799929
124,10.7868797100174,19.992436739961,19.5218049900078
125,10.6551028199935,19.6222064299683,18.9946974299832
126,10.5296010199536,19.2896266599519,18.5115154999903
127,10.4103743099693,18.9758721599593,18.0659841100451
128,10.2974226899691,18.6934931099589,17.6643783499889
129,10.1844710699689,18.4299393299822,17.2878729500121
130,10.0777945399529,18.1914859100136,16.9427430000274
131,9.97739309999235,17.9718577599974,16.6227134099793
132,9.88326675001598,17.7647797899495,16.3215090900264
133,9.79541548995243,17.5828021799809,16.0454051300101
134,9.70756422996021,17.4133747499806,15.7818513500334
135,9.62598805995215,17.2564974999486,15.5433979299934
136,9.54441189001543,17.1121704299563,15.3174946899931
137,9.47538589997569,16.9866686299878,15.1104167200165
138,9.40008481995179,16.8674419200035,14.9096138400241
139,9.33733391996754,16.7607653899875,14.7276362299842
140,9.27458301998329,16.6603639499556,14.5582087999839
141,9.2181072099832,16.5725126899634,14.4076066400074
142,9.16163139998311,16.4909365199553,14.2632795700151
143,9.11143067996717,16.4093603500186,14.1315026799911
144,9.06122995995124,16.3403343599789,14.0060008800226
145,9.0173043299908,16.2713083700105,13.8867741700383
146,8.97337869995902,16.2085574699549,13.7800976400223
147,8.93572815998274,16.1458065699706,13.6796961999904
148,8.89807762000646,16.0893307599705,13.5918449399982
149,8.86670217001434,16.0391300399546,13.503993680006
150,8.83532671995087,15.9826542299545,13.4286925999821
151,8.81022636001425,15.9387285999941,13.3596666100137
152,8.78512600000628,15.8885278799781,13.2906406200453
153,8.76630072998247,15.8446022500177,13.2341648100452
154,8.74747545995866,15.8006766199859,13.1839640900292
155,8.73492527999034,15.7630260800096,13.1337633700133
156,8.71610000996653,15.725375539962,13.096112830037
157,8.70982491998238,15.6877249999857,13.0584622899894
158,8.70354982999822,15.6563495499936,13.0270868399973
159,8.69727474001406,15.6249741000015,13.0019864799893
160,,15.5935986500094,12.9831612100368
161,,15.5622232000172,12.9706110299972
162,,15.5371228400093,12.9580608500289
163,,15.5120224800013,12.9517857600447
164,,15.4869221199933,12.9455106699892
165,,15.4680968499695,12.9392355800051
166,,15.4429964899616,
167,,15.4241712200091,
168,,15.4053459499853,
169,,15.392795770017,
170,,15.3739704999932,
171,,15.3614203199535,
172,,15.3488701399852,
173,,15.342595050001,
174,,15.3300448699614,
175,,15.3237697799772,
176,,15.3112196000089,
177,,15.3049445099534,
178,,15.3049445099534,
179,,15.2986694199693,
